Account ID,Name,ARR,Plan,Segment
ACC-001,Acme Analytics,9000,Starter,SMB
ACC-002,Brightline Analytics,"$114,000",Enterprise,Mid-market
ACC-003,Cobalt Analytics,422500,Enterprise,Enterprise
ACC-004,Driftwood Analytics,"$383,500",Enterprise,Enterprise
ACC-005,Evergreen Analytics,8000,Growth,SMB
ACC-006,Fathom Analytics,"$114,500",Enterprise,Mid-market
ACC-007,Granite Analytics,84000,Enterprise,Mid-market
ACC-008,Halcyon Analytics,"$114,000",Enterprise,Mid-market
ACC-009,Ironclad Analytics,320000,Enterprise,Enterprise
ACC-010,Juniper Analytics,"$8,000",Growth,SMB
ACC-011,Acme Health,127000,Growth,Mid-market
ACC-012,Brightline Health,"$250,000",Enterprise,Enterprise
ACC-013,Cobalt Health,13500,Growth,SMB
ACC-014,Driftwood Health,"$447,500",Enterprise,Enterprise
ACC-015,Evergreen Health,13500,Growth,SMB
ACC-016,Fathom Health,"$12,000",Starter,SMB
ACC-017,Granite Health,84500,Enterprise,Mid-market
ACC-018,Halcyon Health,"$59,000",Growth,Mid-market
ACC-019,Ironclad Health,14500,Starter,SMB
ACC-020,Juniper Health,"$10,500",Starter,SMB
ACC-021,Acme Logistics,18000,Growth,SMB
ACC-022,Brightline Logistics,"$57,500",Enterprise,Mid-market
ACC-023,Cobalt Logistics,56500,Growth,Mid-market
ACC-024,Driftwood Logistics,"$362,500",Enterprise,Enterprise
ACC-025,Evergreen Logistics,8000,Starter,SMB
ACC-026,Fathom Logistics,"$267,000",Enterprise,Enterprise
ACC-027,Granite Logistics,6500,Growth,SMB
ACC-028,Halcyon Logistics,"$249,000",Enterprise,Enterprise
ACC-029,Ironclad Logistics,10000,Starter,SMB
ACC-030,Juniper Logistics,"$366,000",Enterprise,Enterprise
ACC-031,Acme Retail,120500,Growth,Mid-market
ACC-032,Brightline Retail,"$85,500",Enterprise,Mid-market
ACC-033,Cobalt Retail,78500,Enterprise,Mid-market
ACC-034,Driftwood Retail,"$7,000",Starter,SMB
ACC-035,Evergreen Retail,97500,Enterprise,Mid-market
ACC-036,Fathom Retail,"$96,000",Growth,Mid-market
ACC-037,Granite Retail,13000,Growth,SMB
ACC-038,Halcyon Retail,"$131,500",Growth,Mid-market
ACC-039,Ironclad Retail,272500,Enterprise,Enterprise
ACC-040,Juniper Retail,"$98,500",Enterprise,Mid-market
ACC-041,Acme Bank,114500,Enterprise,Mid-market
ACC-042,Brightline Bank,"$88,500",Enterprise,Mid-market
ACC-043,Cobalt Bank,97500,Enterprise,Mid-market
ACC-044,Driftwood Bank,"$54,000",Growth,Mid-market
ACC-045,Evergreen Bank,18000,Starter,SMB
ACC-046,Fathom Bank,"$10,000",Starter,SMB
ACC-047,Granite Bank,92500,Growth,Mid-market
ACC-048,Halcyon Bank,"$279,000",Enterprise,Enterprise
ACC-049,Ironclad Bank,14500,Growth,SMB
ACC-050,Juniper Bank,"$206,000",Enterprise,Enterprise
ACC-051,Acme Labs,14500,Starter,SMB
ACC-052,Brightline Labs,"$17,000",Growth,SMB
ACC-053,Cobalt Labs,437000,Enterprise,Enterprise
ACC-054,Driftwood Labs,"$45,000",Growth,Mid-market
ACC-055,Evergreen Labs,13000,Growth,SMB
ACC-056,Fathom Labs,"$350,500",Enterprise,Enterprise
ACC-057,Granite Labs,398500,Enterprise,Enterprise
ACC-058,Halcyon Labs,"$365,500",Enterprise,Enterprise
ACC-059,Ironclad Labs,12000,Starter,SMB
ACC-060,Juniper Labs,"$15,000",Starter,SMB
