Ticket ID,Created at,Subject,Description,Requester role,Organization ID
1001,2026-09-11 03:09:52,Dashboard totals are wrong,"Hi, I'm Jane from Acme. Please email me at jane@acme.com or call +1 (415) 555-0100 about the ""Revenue"" dashboard. Our totals are 8% lower than Salesforce, and my CFO noticed.",Executive,ACC-004
1002,2026-08-23 17:39:15,Invoice higher than expected,"Hi team, Finance wants a way to set a spending cap before the renewal conversation. Please send a breakdown of the query volume by team. Our invoice this month was 18% higher than last month, and nobody on our side changed anything. Please advise.",Admin,ACC-056
1003,2026-07-22 12:40:26,PNG export is blurry,"Hi team, I rebuild the same 4 charts in PowerPoint every month for the board deck. The PNG export is blurry on a projector, so we take screenshots instead. When I export a chart to slides, the colors reset and the axis labels overlap.",Admin,ACC-046
1004,2026-09-04 20:04:45,Access control request,"Hi there. Can admins create groups and share a folder with a group instead of with each person? Our procurement team said this is a deal breaker for the renewal. We need to restrict the Revenue dashboard to the finance team only. Right now anyone in the workspace can see salary data, which our security review flagged. Any update would help.",End user,
1005,2026-09-16 18:16:36,Enable SAML for our workspace,"Hello, Is there documentation for the SAML attributes you expect? Rolling out to 177 new seats is on hold until SSO works. We want to enable SSO with Okta, but the settings page says to contact support. Please advise.

Steps to reproduce:
1. Open the Revenue dashboard.
2. Set the range to ""Last 30 days"".
3. Compare the total with the source system.",Buyer,ACC-036
1006,2026-07-05 00:09:02,Restrict dashboards by team,"Quick question. Can admins create groups and share a folder with a group instead of with each person? Our procurement team said this is a deal breaker for the renewal. Right now anyone in the workspace can see salary data, which our security review flagged. Please advise.",Executive,ACC-001
1007,2026-09-13 23:59:18,Restrict dashboards by team,"Hi there. Our procurement team said this is a deal breaker for the renewal. Right now anyone in the workspace can see salary data, which our security review flagged. Can admins create groups and share a folder with a group instead of with each person? Thanks in advance.",Buyer,ACC-041
1008,2026-08-05 03:36:30,Stale data on the home dashboard,"Hi there. A simple ""last updated"" timestamp on each chart would save us a lot of back and forth. I can't tell when the Revenue dashboard last refreshed, so I don't know if it includes today's orders. Our execs asked twice this week whether the data was current. We tried paying the overage with card 4111 1111 1111 1111, and it was declined. Thanks in advance.",End user,ACC-043
1009,2026-06-07 21:39:37,Usage bill question,"Quick question. Our invoice this month was 14% higher than last month, and nobody on our side changed anything. Please send a breakdown of the query volume by team.",End user,
1010,2026-09-10 21:42:36,Dashboard totals are wrong,"Quick question. We filtered both systems to the same date range, and the totals still differ. The revenue total on our Revenue dashboard is about 3% lower than what Salesforce shows for the same period. Please advise.",End user,
